,eth_PriceUSD,eth_AdrActCnt,eth_BlkCnt,eth_BlkSizeByte,eth_BlkSizeMeanByte,eth_DiffMean,eth_FeeMeanNtv,eth_FeeMedNtv,eth_FeeTotNtv,eth_TxCnt,eth_TxTfr,eth_TxTfrValMeanNtv,eth_TxTfrValMedNtv,eth_TxTfrValNtv
2017-11-08,309.72048480420807,215842.0,6236.0,88676286.0,14220.0586914689,1454537506078400.0,0.000790837994969148,0.000372456,379.92885367641264,480413.0,292022.0,41.7736678648674,0.427959405351789,12198830.037234318
2017-11-09,318.6064006428989,243554.0,6195.0,86289173.0,13928.8414850686,1420593057400400.0,0.000695490685767066,0.00042,324.9137746505549,467172.0,293018.0,64.8906643113702,0.439026653819167,19014132.67518906
2017-11-10,297.344487434249,233966.0,6300.0,84500680.0,13412.8063492063,1429591654465600.0,0.000637672762891471,0.000357,291.68873891117323,457427.0,292611.0,48.2133469976411,0.41687367459,14107755.678326748
2017-11-11,314.389556691993,194696.0,6267.0,79370301.0,12664.7999042604,1437743883884800.0,0.000590686503996373,0.00042,232.95376207334377,394378.0,251717.0,52.2337467602713,0.37751024,13148122.033255199
2017-11-12,304.4969649327879,213315.0,6245.0,82639583.0,13232.9196156926,1487331219801050.0,0.000685573834958283,0.00042,297.7995624292506,434380.0,311156.0,58.3296436771139,0.700000075,18149618.607996065
2017-11-13,314.2799579193454,214384.0,6225.0,89907928.0,14443.0406425703,1456779199764690.0,0.00069810963396594,0.00042,309.3854351425846,443176.0,292457.0,40.7389235474773,0.3968,11914383.363924576
2017-11-14,333.8486689070719,226170.0,6122.0,99374433.0,16232.3477621692,1448755022988970.0,0.000705863069411406,0.00042,335.9795272304923,475984.0,307842.0,37.6044905700792,0.49962112,11576241.586074328
2017-11-15,330.2168103448277,258219.0,6237.0,102617919.0,16453.0894660895,1424358196164420.0,0.000763351634889322,0.00042,412.66255035880636,540593.0,367725.0,46.7306642284756,0.5,17184033.503416207
2017-11-16,329.88424547048515,242563.0,6154.0,94022620.0,15278.2937926552,1397135204661140.0,0.000719267608574487,0.00042,353.50708279725643,491482.0,313864.0,50.283706430834,0.426981455,15782245.235207291
2017-11-17,331.802991233197,255402.0,6235.0,95398947.0,15300.5528468324,1403215940839890.0,0.000734357270680491,0.0003792,373.4867642950502,508590.0,336903.0,46.9972774577398,0.41952357,15833523.767344918
