,btc_PriceUSD,btc_AdrActCnt,btc_BlkCnt,btc_BlkSizeByte,btc_BlkSizeMeanByte,btc_DiffMean,btc_FeeMeanNtv,btc_FeeMedNtv,btc_FeeTotNtv,btc_TxCnt,btc_TxTfr,btc_TxTfrValMeanNtv,btc_TxTfrValMedNtv,btc_TxTfrValNtv
2016-01-28,378.900995616599,513308.0,146.0,115993426.0,794475.520547945,120033340651.237,0.00020770467800389,0.0001,46.02133321,221571.0,515432.0,9.18300695683623,0.0207433,4733215.64177601
2016-01-29,378.99999482291,529268.0,169.0,116155548.0,687310.934911243,120033340651.237,0.000210059153487079,0.0001,46.84508176,223009.0,505629.0,13.9156615100026,0.02986676,7036162.01364111
2016-01-30,377.262779076564,490429.0,187.0,105360073.0,563422.85026738,120033340651.237,0.000200056210008918,0.0001,39.03216691,195106.0,524719.0,6.27506558074998,0.01122792,3292646.13646555
2016-01-31,366.341687609585,484082.0,181.0,101565420.0,561134.917127072,120033340651.237,0.000196725533535042,0.0001,34.98055402,177814.0,503602.0,3.2506038023938,0.01,1637010.57609312
2016-02-01,371.22343509059,616260.0,161.0,125945238.0,782268.559006211,120033340651.237,0.000256339835141055,0.0001,58.04456691,226436.0,508505.0,10.8354891631436,0.039840005,5509900.41690434
2016-02-02,372.927631209819,675786.0,180.0,143284158.0,796023.1,120033340651.237,0.000237810764209006,0.0001,56.64509717,238194.0,593445.0,5.42883258940188,0.01911259,3221713.5560176
2016-02-03,368.098206604325,542654.0,179.0,114430890.0,639278.715083799,120033340651.237,0.000235186161591369,0.0001,44.07647373,187411.0,446560.0,3.1912119185921,0.02026028,1425067.59436649
2016-02-04,389.723081239042,459997.0,168.0,110500617.0,657741.767857143,120033340651.237,0.000190025033140119,0.0001,38.38904722,202021.0,478151.0,4.72042297091295,0.0339,2257074.963965
2016-02-05,384.398413983051,503467.0,188.0,121746064.0,647585.446808511,120033340651.237,0.000190999640520087,0.0001,42.52702496,222655.0,544083.0,6.02172928410408,0.02823244,3276320.5340832
2016-02-06,374.631555523086,497975.0,200.0,122039130.0,610195.65,120033340651.237,0.000179055378250901,0.0001,40.92346481,228552.0,611004.0,4.91834568901002,0.01608227,3005128.88936788
2016-02-07,375.153917592051,516141.0,176.0,122586849.0,696516.1875,141106059447.835,0.000184021314638282,0.0001,38.74329552,210537.0,649462.0,4.21414642165631,0.006220085,2736927.96330175
2016-02-08,370.814350327294,479473.0,148.0,121808524.0,823030.567567568,144116447847.349,0.000187639538996544,0.0001,42.89627501,228610.0,557241.0,4.402892031322,0.0263,2453471.9584259
2016-02-09,373.5116128609,515267.0,176.0,123751577.0,703133.960227273,144116447847.349,0.000181261486583361,0.0001,42.22613213,232957.0,561547.0,3.6168360223626,0.02491941,2031023.41784965
2016-02-10,379.082611630625,487454.0,164.0,119291465.0,727386.981707317,144116447847.349,0.000191330403004869,0.0001,43.85828562,229228.0,526521.0,4.53295063077425,0.0402,2386693.69906589
2016-02-11,377.639165108124,496667.0,192.0,123085188.0,641068.6875,144116447847.349,0.00019992553401922,0.0001,44.20853371,221125.0,526264.0,4.740985062904,0.03636867,2495009.76314411
2016-02-12,382.294456458212,470121.0,171.0,104481600.0,611003.50877193,144116447847.349,0.000193578610124598,0.0001,39.02699643,201608.0,484196.0,5.09264629885608,0.03549246,2465838.96732092
2016-02-13,389.598432472238,448353.0,156.0,98627677.0,632228.698717949,144116447847.349,0.000189373432521531,0.0001,34.98352231,184733.0,471854.0,5.13087849474087,0.02578715,2421025.54125746
2016-02-14,406.150669491525,496649.0,166.0,105251419.0,634044.692771084,144116447847.349,0.000188327574020962,0.0001,35.72122093,189676.0,530643.0,5.08262805069267,0.0146382,2697060.99670371
2016-02-15,399.26761864699,498129.0,152.0,115417039.0,759322.625,144116447847.349,0.000191913886383312,0.0001,42.3398497,220619.0,529418.0,6.85136368408739,0.0486,3627235.25890218
2016-02-16,407.035309468147,481206.0,138.0,104791313.0,759357.34057971,144116447847.349,0.000196169854195183,0.0001,42.42133863,216248.0,482884.0,7.6727939175362,0.06140567,3705069.41807555
2016-02-17,415.324113383986,537228.0,155.0,119687091.0,772174.780645161,144116447847.349,0.000192472117590886,0.0001,43.13280908,224099.0,552384.0,6.79304712838,0.03970985,3752370.54496306
2016-02-18,421.289662981882,496326.0,169.0,110009433.0,650943.390532544,144116447847.349,0.000203896276392633,0.0001,43.57181868,213696.0,510136.0,7.2315715778018,0.04347548,3689084.9984135
2016-02-19,419.626528541204,523596.0,145.0,112037594.0,772673.062068966,153469996083.989,0.000211937225241089,0.0001,46.21778652,218073.0,516073.0,8.90415714005939,0.04707101,4595195.08774187
2016-02-20,440.195760081823,489626.0,150.0,109679351.0,731195.673333333,163491654908.96,0.000190614014674567,0.0001,41.17643945,216020.0,515343.0,7.68164326755159,0.04530011,3958681.08642984
2016-02-21,438.718612681473,531113.0,128.0,109658953.0,856710.5703125,163491654908.959,0.000195583699017765,0.0001,40.77998358,208504.0,573398.0,7.07467559016238,0.0224,4056604.83404793
2016-02-22,437.535295094097,537212.0,127.0,114008836.0,897707.37007874,163491654908.959,0.000192735875591645,0.0001,45.52537023,236206.0,574027.0,7.28618031277797,0.04551315,4182464.226403
2016-02-23,420.032592609585,550408.0,136.0,120218840.0,883962.058823529,163491654908.959,0.000197345726213234,0.0001,49.13987521,249004.0,565922.0,6.6984438764766,0.06214645,3790796.75546339
2016-02-24,423.995112507306,466104.0,118.0,108284085.0,917661.737288136,163491654908.959,0.000206373311585202,0.0001,45.35858378,219789.0,472190.0,7.07715909760372,0.06815329,3341763.7542975
2016-02-25,424.090870251315,529925.0,155.0,123871768.0,799172.696774194,163491654908.96,0.000211248134195991,0.0001,45.97224146,217622.0,528877.0,5.61996895622973,0.033998965,2972272.32166391
2016-02-26,431.762241963764,476826.0,140.0,107070716.0,764790.828571429,163491654908.96,0.000208038938964971,0.0001,42.3985438,203801.0,481997.0,6.25644020314761,0.03611825,3015585.40859654
2016-02-27,432.947845996493,467543.0,147.0,96662472.0,657567.836734694,163491654908.96,0.000204962914647867,0.0001,36.25363538,176879.0,464758.0,4.52901046417088,0.0159823,2104893.84530713
2016-02-28,433.102262711864,497556.0,134.0,106391588.0,793967.074626866,163491654908.959,0.000191180432441451,0.0001,45.83646458,239755.0,531671.0,15.8271691014054,0.09139215,8414846.82331329
2016-02-29,437.775872589129,563571.0,133.0,121456157.0,913204.187969925,163491654908.959,0.000209059067643205,0.0001,55.20455552,264062.0,597896.0,16.0876497401509,0.0934,9618741.42903728
2016-03-01,432.807867153711,561876.0,141.0,127678783.0,905523.283687943,163491654908.96,0.000217434926784127,0.0001,59.91528125,275555.0,615167.0,17.2503142595422,0.07720993,10611824.0720998
2016-03-02,423.079789392168,553815.0,157.0,140275930.0,893477.261146497,163491654908.96,0.000343421892695671,0.0001,91.22556131,265637.0,584459.0,9.23616283746138,0.0995,5398158.49581984
2016-03-03,419.268821332554,575225.0,135.0,125551834.0,930013.585185185,163491654908.959,0.000253743192328421,0.0001,57.90901761,228219.0,598521.0,5.59636764146844,0.023505075,3349543.55713933
2016-03-04,407.990154295734,513898.0,155.0,120320895.0,776263.838709677,163164916125.633,0.000247741439794749,0.000113,49.72913921,200730.0,463276.0,15.4966308172991,0.045145045,7179217.13851504
2016-03-05,397.314453945061,530671.0,150.0,117297784.0,781985.226666667,158427203767.392,0.000264763797148904,0.00013386,62.42309569,235769.0,558667.0,34.4135276714522,0.04921187,19225702.2636272
2016-03-06,403.705187463472,409059.0,148.0,91881649.0,620821.952702703,158427203767.392,0.000241234153780255,0.000113,38.85968613,161087.0,423889.0,4.35733000766887,0.01576796,1847024.25962075
2016-03-07,413.22936616014,421465.0,133.0,96583809.0,726194.052631579,158427203767.392,0.000241330520774913,0.00011134,45.18214143,187221.0,429041.0,6.49505648555096,0.0454605,2786645.52961727
2016-03-08,411.425953243717,460732.0,154.0,103288643.0,670705.474025974,158427203767.392,0.000221891670945039,0.0001,43.82471447,197505.0,479506.0,4.20446033866696,0.034,2016063.95915284
2016-03-09,412.540703506721,504399.0,168.0,123240244.0,733572.880952381,158427203767.392,0.000288103703836635,0.00010033,53.78147081,186674.0,427684.0,4.34452236816383,0.04238259,1858082.70450578
2016-03-10,416.340928696669,445273.0,155.0,106663747.0,688153.206451613,158427203767.392,0.000218099377586397,0.00010036,41.58304543,190661.0,458120.0,4.8055017542469,0.02961002,2201496.46365559
2016-03-11,419.511934248977,434658.0,160.0,99645606.0,622785.0375,158427203767.392,0.000208623356754654,0.0001,40.76625565,195406.0,463697.0,4.69596541993567,0.03384803,2177505.07732791
2016-03-12,410.264163296318,374730.0,144.0,82802212.0,575015.361111111,158427203767.392,0.000204762644592354,0.0001,34.08642792,166468.0,376754.0,4.47186049531527,0.03567011,1684791.32905201
