,doge_PriceUSD,doge_AdrActCnt,doge_BlkCnt,doge_BlkSizeByte,doge_BlkSizeMeanByte,doge_DiffMean,doge_FeeMeanNtv,doge_FeeMedNtv,doge_FeeTotNtv,doge_TxCnt,doge_TxTfr,doge_TxTfrValMeanNtv,doge_TxTfrValMedNtv,doge_TxTfrValNtv
2015-01-03,0.00016630957334973334,53381.0,1370.0,14347474.0,10472.6087591241,20437.5600321838,1.49599799053239,1.0,25654.86953964,17149.0,76319.0,969308.80472236,148.13,73976678667.60579
2015-01-04,0.00015692111930135736,48296.0,1377.0,13013413.0,9450.55410312273,19306.7416229951,1.42057633365506,1.0,23902.61739008,16826.0,67296.0,869980.189656711,102.0,58546186843.138054
2015-01-05,0.00016060906412817402,47294.0,1366.0,14986492.0,10971.0775988287,18546.7003154455,1.38573723354447,1.0,27062.06243389,19529.0,70531.0,1406486.08845,155.3284,99200870304.46712
2015-01-06,0.00017050211036735984,39402.0,1356.0,11965966.0,8824.4587020649,17681.8284988643,1.3623027189233,1.0,22040.69568946,16179.0,57289.0,1168210.62592821,92.0,66925618548.80124
2015-01-07,0.00017528587024057498,42995.0,1378.0,13595072.0,9865.79970972424,16285.533561569,1.42241165884743,1.0,24892.20402983,17500.0,63673.0,1211142.37024235,101.0,77117068140.44112
2015-01-08,0.00016765910950669214,44618.0,1360.0,14868612.0,10932.8029411765,16790.551267994,1.34326877902034,1.0,28657.29613162,21334.0,67829.0,1307807.98970553,109.25,88707308133.73657
2015-01-09,0.0001721166650423945,47053.0,1375.0,14649606.0,10654.2589090909,16642.5000067232,1.39642617453046,1.0,29636.35270206,21223.0,70641.0,1583898.84419253,200.0,111888198252.60457
2015-01-10,0.0001544541971103034,45705.0,1371.0,16337553.0,11916.52297593,17230.7056426931,1.54601085363804,1.0,28548.63642328,18466.0,58761.0,1383101.72202799,58.405986305,81272440288.08678
2015-01-11,0.00016060952124150835,68150.0,1355.0,15072044.0,11123.279704797,17610.4659659426,1.6015642270428,1.0,26569.95052664,16590.0,98961.0,561819.57032979,134.385,55598226499.4063
2015-01-12,0.00015704803022009175,46213.0,1380.0,14205190.0,10293.615942029,16990.9867674566,1.41680768529395,1.0,24726.12772375,17452.0,65997.0,948278.024874255,99.62480203,62583504807.626205
2015-01-13,0.00013369238530323976,45070.0,1385.0,14998010.0,10828.8880866426,16094.2466160012,1.5522436893623,1.0,25582.52824438,16481.0,67391.0,481285.913068354,58.26896346,32434338967.589417
