,ltc_PriceUSD,ltc_AdrActCnt,ltc_BlkCnt,ltc_BlkSizeByte,ltc_BlkSizeMeanByte,ltc_DiffMean,ltc_FeeMeanNtv,ltc_FeeMedNtv,ltc_FeeTotNtv,ltc_TxCnt,ltc_TxTfr,ltc_TxTfrValMeanNtv,ltc_TxTfrValMedNtv,ltc_TxTfrValNtv
2018-12-02,33.3389268752598,73109.0,596.0,13563999.0,22758.3875838926,6010106.26682915,0.000679192243311912,0.000224,13.6334259,20073.0,59697.0,13.4228790045217,0.17881084,801305.60793293
2018-12-03,30.6768672395979,77775.0,599.0,14853954.0,24797.9198664441,6010106.26682915,0.000698632628818123,0.000224,15.04994409,21542.0,66007.0,17.2620289457277,0.21731086,1139414.74462065
2018-12-04,30.7135452041543,79715.0,626.0,14883792.0,23776.0255591054,6010106.26682914,0.000747156554441595,0.000224,16.02277231,21445.0,67504.0,15.9861785292306,0.2,1079130.99543718
2018-12-05,28.8757969917183,79285.0,561.0,15003071.0,26743.4420677362,6192219.19195868,0.000705363924371994,0.000224,15.83683083,22452.0,67678.0,21.2563140980416,0.22900652,1438584.82552726
2018-12-06,26.5862923986311,78248.0,549.0,15188406.0,27665.5846994536,6281822.6258655,0.000724152413495556,0.000226,16.78440464,23178.0,69520.0,25.4002539945939,0.25,1765825.65770417
2018-12-07,24.8430089700049,86759.0,536.0,16829219.0,31397.796641791,6281822.6258655,0.000693907774565403,0.000221,18.72093785,26979.0,76376.0,38.9552877315302,0.3999714,2975249.05578335
2018-12-08,24.4296010890194,75410.0,531.0,14211233.0,26763.1506591337,6281822.6258655,0.000609209539137414,0.000192,14.42181742,23673.0,69175.0,23.8058416478538,0.23707116,1646769.09599029
2018-12-09,25.4320214738072,71817.0,546.0,13396056.0,24534.9010989011,5949941.21319448,0.000653880328441649,0.000224,14.03554125,21465.0,65249.0,17.8520950439593,0.19532958,1164831.3495233
2018-12-10,24.0756834939966,78935.0,557.0,18303863.0,32861.513464991,5934682.29766937,0.000846051887924991,0.000222,19.31028829,22824.0,66729.0,18.8534935000052,0.22953166,1258074.76776185
2018-12-11,23.2778325579883,78165.0,507.0,15392946.0,30360.8402366864,5934682.29766937,0.000672375481050877,0.000224,14.9206843,22191.0,65994.0,20.5678569365592,0.22354771,1357355.15067129
2018-12-12,24.0368019814393,81954.0,564.0,16382386.0,29046.7836879433,5839901.45900578,0.000667218453137138,0.00021854,14.60074141,21883.0,66150.0,28.0074806494334,0.20686802,1852694.84496002
